Looking up target...
Reading module ...
 TT x86-64 : x86_64-unknown-unknown 
Deserializing functions...
set_ref_reloc_type: Adding  ref: IMM, to: 40c9ae, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 403240, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 40c98f, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 403240, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 40c936, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 403240, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 40c918, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 403240, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 40c8ee, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 403240, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 40c857, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40c82b, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 403240, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 40c801, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 403240, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 40c7af, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 403240, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 40c75b, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 403240, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 40c785, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 403240, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 40c7d2, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 403240, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 40c737, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 403240, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 403240, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 40c89a, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60e274, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60e278, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60e2ac, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60e2a8, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60e280, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60e288, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60e260, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60e2a4, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60e290, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60e298, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60e2a0, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40c050, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40c6d6, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 4043f0, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 40c5d0, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 40c5d0, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60e274, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60e294, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 4043f0, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 404d50, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 60e2a8, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 40c5d0, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 40c5d0, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 404d50, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 60e3c0, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60e294, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 4040f0, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 60e260, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 40c5d0, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60e268, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60e260, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60e268, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 40c5d0, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60e268, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60e260, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60e268, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 40c5d0, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60e268, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60e260, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60e268, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 40c5d0, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60e268, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60e270, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60e268, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 40aea0, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 60e29c, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 40aac0, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 409620, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 409620, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 40ab10, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 60e270, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 403350, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 60e268, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60e270, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 60e2b0, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 404040, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 4040f0, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 404040, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 60e2a4, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 4040f0, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 40c950, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 403240, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 60e2a0, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60e29c, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60e294, ro: 0, rt: DATA
