Looking up target...
Reading module ...
 TT x86-64 : x86_64-unknown-unknown 
Deserializing functions...
set_ref_reloc_type: Adding  ref: IMM, to: 40c632, ro: 5, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40c63e, ro: 5, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40c641, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 403d00, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 40c650, ro: 1, rt: DATA
Deserializing functions...
set_ref_reloc_type: Adding  ref: IMM, to: 60edf0, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60edf0, ro: 0, rt: DATA
Deserializing functions...
set_ref_reloc_type: Adding  ref: MEM, to: 4010e0, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 60f2e8, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60f2e8, ro: 0, rt: DATA
Deserializing functions...
set_ref_reloc_type: Adding  ref: IMM, to: 60f2d7, ro: 1, rt: DATA
Deserializing functions...
set_ref_reloc_type: Adding  ref: IMM, to: 40cd8e, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60f390, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60f390, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60f390, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60f398, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60f398, ro: 0, rt: DATA
Deserializing functions...
set_ref_reloc_type: Adding  ref: MEM, to: 406850, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 40bc55, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40bc27, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40cdd0, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40bc6f, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40bcab, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60f32c, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 4098e0, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 60f330, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 408270, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 60f330, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 406bc0, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 409ea0, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 60f328, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 4099d0, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 402560, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 4026d0, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 402810, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 60f324, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 4018c0, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 401b00, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 60f380, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60f368, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60f31c, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40a690, ro: 1, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 40bc65, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 40a580, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 60f378, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60f378, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60f320, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40bc53, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 40a580, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 40bf74, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 40a580, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 404f00, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 60f338, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60f380, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60f380, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60f380, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60f380, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60f378, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60f378, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60f378, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60f378, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60f370, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60f370, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60f370, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60f370, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60f338, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 60f180, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 404500, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 60f318, ro: 0, rt: DATA
Deserializing functions...
set_ref_reloc_type: Adding  ref: IMM, to: 40bee3, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40c237, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40c225, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 406740, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 40c225, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 406740, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 40c8ae, ro: 2, rt: DATA
Deserializing functions...
set_ref_reloc_type: Adding  ref: IMM, to: 40bee3, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 406740, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 40bebd, ro: 1, rt: DATA
Deserializing functions...
set_ref_reloc_type: Adding  ref: IMM, to: 40a020, ro: 1, rt: CODE
Deserializing functions...
Deserializing functions...
set_ref_reloc_type: Adding  ref: IMM, to: 40bee3, ro: 1, rt: DATA
