Looking up target...
Reading module ...
 TT x86-64 : x86_64-unknown-unknown 
Deserializing functions...
set_ref_reloc_type: Adding  ref: MEM, to: 401030, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 4115f0, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 401540, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 401030, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 40d9d0, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 40e500, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 40b410, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 40f600, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 40b450, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 4152a0, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 4152ff, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 40b410, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 40f600, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 40b450, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 411220, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 411220, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 415310, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 40efc0, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 4014e0, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 400f90, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 4014e0, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 40b410, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 4125ba, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 40d3b0, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 40d3b0, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 40d180, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 415600, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 415630, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 415670, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 4156c0, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 415700, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 415750, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 4152f5, ro: 1, rt: DATA
